"Normalised specific absorption of phytoplankton after Morel 1991, chlorophyll-A and -B after Frigaard et al. 1996",,,,
lambda (nm),"a_P,Morel",lambda [nm],a_chl-a,a_chl-b
,,909.5,-0.004034,-0.005059
,,910.3,-0.004266,-0.005397
,,911.1,-0.004434,-0.005730
,,911.9,-0.004538,-0.006049
,,912.7,-0.004582,-0.006344
,,913.5,-0.004573,-0.006605
,,914.3,-0.004520,-0.006822
,,915.1,-0.004434,-0.006986
,,915.9,-0.004326,-0.007089
,,916.7,-0.004209,-0.007129
,,917.5,-0.004095,-0.007103
,,918.3,-0.003996,-0.007016
,,919.1,-0.003920,-0.006875
,,919.9,-0.003877,-0.006695
,,920.7,-0.003872,-0.006489
,,921.5,-0.003909,-0.006278
,,922.3,-0.003990,-0.006081
,,923.1,-0.004115,-0.005919
,,923.9,-0.004282,-0.005812
,,924.7,-0.004488,-0.005775
,,925.5,-0.004729,-0.005821
,,926.3,-0.005004,-0.005958
,,927.1,-0.005308,-0.006188
,,927.9,-0.005639,-0.006507
,,928.7,-0.005995,-0.006906
,,929.5,-0.006374,-0.007373
,,930.3,-0.006772,-0.007890
,,931.1,-0.007189,-0.008438
,,931.9,-0.007620,-0.008999
,,932.7,-0.008060,-0.009552
,,933.5,-0.008503,-0.010083
,,934.3,-0.008942,-0.010576
,,935.1,-0.009369,-0.011024
,,935.9,-0.009775,-0.011422
,,936.7,-0.010155,-0.011771
,,937.5,-0.010502,-0.012077
,,938.3,-0.010813,-0.012350
,,939.1,-0.011090,-0.012604
,,939.9,-0.011337,-0.012854
,,940.7,-0.011562,-0.013119
,,941.5,-0.011777,-0.013414
,,942.3,-0.011997,-0.013754
,,943.1,-0.012237,-0.014154
,,943.9,-0.012512,-0.014620
,,944.7,-0.012839,-0.015157
,,945.5,-0.013227,-0.015764
,,946.3,-0.013686,-0.016434
,,947.1,-0.014219,-0.017156
,,947.9,-0.014823,-0.017914
,,948.7,-0.015493,-0.018689
,,949.5,-0.016218,-0.019459
,,950.3,-0.016984,-0.020202
,,951.1,-0.017777,-0.020898
,,951.9,-0.018580,-0.021527
,,952.7,-0.019379,-0.022075
,,953.5,-0.020160,-0.022532
,,954.2,-0.020913,-0.022894
,,955.0,-0.021630,-0.023163
,,955.8,-0.022308,-0.023349
,,956.6,-0.022943,-0.023464
,,957.4,-0.023537,-0.023529
,,958.2,-0.024091,-0.023564
,,959.0,-0.024608,-0.023592
,,959.8,-0.025090,-0.023634
,,960.6,-0.025539,-0.023710
,,961.4,-0.025955,-0.023833
,,962.2,-0.026337,-0.024010
,,963.0,-0.026683,-0.024243
,,963.8,-0.026990,-0.024524
,,964.6,-0.027254,-0.024840
,,965.4,-0.027472,-0.025170
,,966.2,-0.027642,-0.025491
,,967.0,-0.027762,-0.025777
,,967.8,-0.027832,-0.026003
,,968.6,-0.027855,-0.026146
,,969.4,-0.027834,-0.026190
,,970.2,-0.027776,-0.026126
,,971.0,-0.027686,-0.025951
,,971.8,-0.027574,-0.025672
,,972.6,-0.027448,-0.025305
,,973.4,-0.027313,-0.024871
,,974.2,-0.027175,-0.024396
,,975.0,-0.027040,-0.023909
,,975.8,-0.026907,-0.023438
,,976.6,-0.026776,-0.023008
,,977.4,-0.026644,-0.022642
,,978.2,-0.026506,-0.022354
,,979.0,-0.026358,-0.022152
,,979.8,-0.026193,-0.022037
,,980.6,-0.026009,-0.022005
,,981.4,-0.025802,-0.022046
,,982.2,-0.025575,-0.022147
,,983.0,-0.025333,-0.022293
,,983.8,-0.025084,-0.022469
,,984.5,-0.024840,-0.022662
,,985.3,-0.024615,-0.022861
,,986.1,-0.024423,-0.023059
,,986.9,-0.024280,-0.023251
,,987.7,-0.024197,-0.023434
,,988.5,-0.024183,-0.023609
,,989.3,-0.024240,-0.023774
,,990.1,-0.024366,-0.023931
,,990.9,-0.024550,-0.024078
,,991.7,-0.024776,-0.024212
,,992.5,-0.025022,-0.024327
,,993.3,-0.025262,-0.024415
,,994.1,-0.025470,-0.024465
,,994.9,-0.025616,-0.024463
,,995.7,-0.025677,-0.024396
,,996.5,-0.025631,-0.024248
,,997.3,-0.025464,-0.024005
,,998.1,-0.025170,-0.023652
,,998.9,-0.024749,-0.023179
,,999.7,-0.024211,-0.022580
,,1000.5,-0.023573,-0.021855
