"Normalised specific absorption of phytoplankton after Morel 1991, chlorophyll-A and -B after Frigaard et al. 1996",,,,
lambda (nm),"a_P,Morel",lambda [nm],a_chl-a,a_chl-b
,,597.3,0.134048,0.108563
,,598.1,0.137757,0.108997
,,598.9,0.141733,0.109208
,,599.7,0.145954,0.109203
,,600.6,0.150393,0.108988
,,601.4,0.155013,0.108575
,,602.2,0.159775,0.107977
,,603.0,0.164635,0.107209
,,603.8,0.169544,0.106290
,,604.6,0.174454,0.105238
,,605.4,0.179313,0.104074
,,606.3,0.184072,0.102819
,,607.1,0.188680,0.101497
,,607.9,0.193090,0.100129
,,608.7,0.197261,0.098740
,,609.5,0.201152,0.097352
,,610.3,0.204728,0.095989
,,611.1,0.207962,0.094673
,,611.9,0.210829,0.093426
,,612.8,0.213312,0.092269
,,613.6,0.215401,0.091222
,,614.4,0.217088,0.090307
,,615.2,0.218375,0.089543
,,616.0,0.219268,0.088950
,,616.8,0.219779,0.088548
,,617.6,0.219922,0.088361
,,618.4,0.219718,0.088410
,,619.3,0.219192,0.088722
,,620.1,0.218371,0.089324
,,620.9,0.217284,0.090249
,,621.7,0.215964,0.091532
,,622.5,0.214445,0.093211
,,623.3,0.212760,0.095330
,,624.1,0.210945,0.097934
,,624.9,0.209035,0.101074
,,625.8,0.207066,0.104802
,,626.6,0.205071,0.109169
,,627.4,0.203087,0.114228
,,628.2,0.201147,0.120029
,,629.0,0.199289,0.126617
,,629.8,0.197548,0.134028
,,630.6,0.195964,0.142291
,,631.4,0.194581,0.151420
,,632.3,0.193444,0.161414
,,633.1,0.192607,0.172253
,,633.9,0.192130,0.183897
,,634.7,0.192084,0.196284
,,635.5,0.192548,0.209327
,,636.3,0.193613,0.222913
,,637.1,0.195385,0.236906
,,637.9,0.197978,0.251147
,,638.8,0.201524,0.265454
,,639.6,0.206165,0.279630
,,640.4,0.212052,0.293462
,,641.2,0.219348,0.306729
,,642.0,0.228223,0.319209
,,642.8,0.238848,0.330681
,,643.6,0.251395,0.340938
,,644.4,0.266028,0.349788
,,645.2,0.282902,0.357063
,,646.1,0.302152,0.362624
,,646.9,0.323888,0.366367
,,647.7,0.348184,0.368222
,,648.5,0.375073,0.368160
,,649.3,0.404534,0.366190
,,650.1,0.436484,0.362358
,,650.9,0.470771,0.356745
,,651.7,0.507161,0.349461
,,652.5,0.545338,0.340646
,,653.4,0.584898,0.330455
,,654.2,0.625348,0.319061
,,655.0,0.666114,0.306644
,,655.8,0.706545,0.293387
,,656.6,0.745932,0.279473
,,657.4,0.783520,0.265077
