Absorption (a) and scattering (b) of pure water after Hakvoort 1994,,
lambda [nm],a [m^(-1)],b [m^(-1)]
534,0.04560,0.00160
535,0.04630,0.00159
536,0.04700,0.00157
537,0.04750,0.00156
538,0.04800,0.00155
539,0.04860,0.00154
540,0.04950,0.00153
541,0.04980,0.00151
542,0.05030,0.00150
543,0.05140,0.00149
544,0.05270,0.00148
545,0.05350,0.00147
546,0.05440,0.00146
547,0.05530,0.00145
548,0.05640,0.00144
549,0.05750,0.00142
550,0.05880,0.00141
551,0.05990,0.00140
552,0.06110,0.00139
553,0.06210,0.00138
554,0.06310,0.00137
555,0.06390,0.00136
556,0.06460,0.00135
557,0.06510,0.00134
558,0.06580,0.00133
559,0.06640,0.00132
560,0.06720,0.00131
561,0.06790,0.00130
562,0.06860,0.00129
563,0.06920,0.00128
564,0.06990,0.00127
565,0.07070,0.00126
566,0.07180,0.00126
567,0.07260,0.00125
568,0.07340,0.00124
569,0.07450,0.00123
570,0.07590,0.00122
571,0.07720,0.00121
572,0.07870,0.00120
573,0.08020,0.00119
574,0.08190,0.00118
575,0.08380,0.00118
576,0.08580,0.00117
577,0.08760,0.00116
578,0.08960,0.00115
579,0.09220,0.00114
580,0.09520,0.00113
581,0.09790,0.00113
582,0.10000,0.00112
583,0.10400,0.00111
584,0.10700,0.00110
585,0.11100,0.00109
586,0.11500,0.00109
587,0.12000,0.00108
588,0.12500,0.00107
589,0.13000,0.00106
590,0.13500,0.00106
591,0.14000,0.00105
592,0.14500,0.00104
593,0.15100,0.00103
594,0.15600,0.00103
595,0.16200,0.00102
596,0.17000,0.00101
597,0.17700,0.00101
598,0.18600,0.00100
599,0.20300,0.00099
600,0.22200,0.00099
601,0.23100,0.00098
602,0.23600,0.00097
603,0.24000,0.00097
604,0.24400,0.00096
605,0.25100,0.00095
606,0.25800,0.00095
607,0.26200,0.00094
608,0.26500,0.00093
609,0.26700,0.00093
610,0.26900,0.00092
611,0.27000,0.00091
612,0.27100,0.00091
613,0.27200,0.00090
614,0.27400,0.00090
615,0.27500,0.00089
616,0.27600,0.00088
617,0.27700,0.00088
618,0.27800,0.00087
619,0.27900,0.00087
620,0.28100,0.00086
621,0.28200,0.00085
622,0.28300,0.00085
623,0.28500,0.00084
624,0.28600,0.00084
625,0.28800,0.00083
626,0.28900,0.00083
627,0.29000,0.00082
628,0.29200,0.00082
629,0.29300,0.00081
630,0.29500,0.00080
631,0.29700,0.00080
632,0.29800,0.00079
633,0.30000,0.00079
634,0.30100,0.00078
635,0.30200,0.00078
636,0.30300,0.00077
637,0.30500,0.00077
638,0.30700,0.00076
639,0.30900,0.00076
640,0.31100,0.00075
641,0.31200,0.00075
642,0.31400,0.00074
643,0.31600,0.00074
644,0.31800,0.00073
645,0.32000,0.00073
646,0.32200,0.00072
647,0.32400,0.00072
648,0.32600,0.00072
649,0.32800,0.00071
650,0.33100,0.00071
651,0.33300,0.00070
652,0.33600,0.00070
653,0.33800,0.00069
654,0.34200,0.00069
655,0.34600,0.00068
656,0.35000,0.00068
657,0.35600,0.00068
658,0.36300,0.00067
659,0.37100,0.00067
660,0.37900,0.00066
661,0.38600,0.00066
662,0.39300,0.00065
663,0.39800,0.00065
664,0.40100,0.00065
665,0.40500,0.00064
666,0.40700,0.00064
667,0.40800,0.00063
668,0.40900,0.00063
669,0.41000,0.00063
670,0.41200,0.00062
671,0.41300,0.00062
672,0.41500,0.00062
