"Spectral irradiance of LEDs in 20 cm distance and solar irradiance [mW m^(-2) nm^(-1)] of 17/04/1996 12:20 MEZ at HMGU Neuherberg, Germany",,,,
Measurements by Bentham doublemonochromator,,,,
lambda [nm],E_whiteLED,E_redLED,lambda [nm],E_sun
404,0.00648,-0.00026,449.4,1521.35400
405,0.00805,-0.00021,451.4,1533.70400
406,0.01011,0.00001,453.4,1456.92400
407,0.01274,-0.00027,455.4,1494.93600
408,0.01607,-0.00022,457.4,1516.00600
409,0.02042,-0.00013,459.4,1489.74200
410,0.02577,-0.00014,461.4,1536.94300
411,0.03339,-0.00033,463.4,1528.23900
412,0.04187,-0.00019,465.4,1493.22300
413,0.05334,-0.00036,467.4,1481.75200
414,0.06816,-0.00021,469.4,1476.63200
415,0.08613,-0.00021,471.4,1492.60200
416,0.10996,-0.00024,473.4,1518.86700
417,0.13819,-0.00009,475.4,1515.50200
418,0.17328,-0.00032,477.4,1530.78200
419,0.21465,-0.00014,479.4,1550.90100
420,0.26621,-0.00004,481.4,1557.77000
421,0.32166,-0.00023,483.4,1525.17600
422,0.39077,-0.00027,485.4,1362.10300
423,0.47007,-0.00012,487.4,1371.27100
424,0.56499,-0.00022,489.4,1476.52100
425,0.67377,-0.00024,491.4,1459.99300
426,0.79071,-0.00022,493.4,1473.01400
427,0.93391,-0.00021,495.4,1501.56500
428,1.09937,-0.00040,497.4,1476.28300
429,1.27697,-0.00025,499.4,1442.22000
430,1.48422,-0.00025,501.4,1401.83500
431,1.71063,-0.00016,503.4,1426.56900
432,1.96970,-0.00025,505.4,1466.68500
433,2.26767,-0.00030,507.4,1446.68800
434,2.60261,-0.00012,509.4,1450.86400
435,2.97679,-0.00010,511.4,1449.90400
436,3.40283,-0.00010,513.4,1401.69600
437,3.88058,-0.00033,515.4,1361.65900
438,4.41371,-0.00018,517.4,1258.83900
439,5.03598,-0.00012,519.4,1347.21200
440,5.74428,-0.00023,521.4,1389.47400
441,6.51607,-0.00017,523.4,1409.09200
442,7.39082,-0.00010,525.4,1389.35900
443,8.40400,-0.00015,527.4,1354.69000
444,9.54569,-0.00019,529.4,1433.76300
445,10.80912,-0.00015,531.4,1427.04900
446,12.25934,-0.00009,533.4,1387.35000
447,13.92609,-0.00034,535.4,1429.29000
448,15.71965,-0.00010,537.4,1408.39600
449,17.70236,-0.00016,539.4,1372.19700
450,19.86727,-0.00027,541.4,1362.45300
451,22.17006,-0.00012,543.4,1384.76500
452,24.48163,-0.00019,545.4,1391.64100
453,26.83745,-0.00014,547.4,1372.83000
454,29.10646,-0.00021,549.4,1382.44500
455,31.18637,-0.00016,551.4,1378.67500
456,33.03533,-0.00004,553.4,1377.30400
457,34.49362,-0.00010,555.4,1374.47800
458,35.54834,-0.00016,557.4,1336.41700
459,36.04042,-0.00021,559.4,1312.72900
460,36.04688,-0.00025,561.4,1334.08900
461,35.46753,-0.00025,563.4,1338.20600
462,34.39297,-0.00014,565.4,1316.96400
463,32.90936,-0.00015,567.4,1320.52200
464,31.07660,-0.00020,569.4,1307.43700
465,29.13232,-0.00002,571.4,1299.12300
