Extraterrestrial Solar Irradiance [mW m^(-2) nm^(-1)],,,
lambda (nm),"E_S,5800K",lambda (nm),"E_S,Wehrli85"
449.89,1798.1,483.5,2021
450.71,1799.9,484.5,1971
451.53,1801.6,485.5,1832
452.36,1803.3,486.5,1627
453.18,1804.9,487.5,1832
454.00,1806.6,488.5,1916
454.83,1808.2,489.5,1962
455.65,1809.7,490.5,2009
456.47,1811.3,491.5,1898
457.29,1812.7,492.5,1898
458.12,1814.2,493.5,1890
458.94,1815.6,494.5,2060
459.76,1817.0,495.5,1928
460.58,1818.4,496.5,2019
461.41,1819.7,497.5,2020
462.23,1821.0,498.5,1868
463.05,1822.3,499.5,1972
463.87,1823.5,500.5,1859
464.70,1824.7,501.5,1814
465.52,1825.9,502.5,1896
466.34,1827.1,503.5,1936
467.16,1828.2,504.5,1871
467.99,1829.3,505.5,1995
468.81,1830.3,506.5,1963
469.63,1831.3,507.5,1908
470.45,1832.3,508.5,1921
471.27,1833.3,509.5,1918
472.10,1834.2,510.5,1949
472.92,1835.1,511.5,1999
473.74,1836.0,512.5,1869
474.56,1836.8,513.5,1863
475.39,1837.6,514.5,1876
476.21,1838.4,515.5,1902
477.03,1839.2,516.5,1671
477.85,1839.9,517.5,1728
478.67,1840.6,518.5,1656
479.49,1841.2,519.5,1830
480.32,1841.9,520.5,1833
481.14,1842.5,521.5,1908
481.96,1843.1,522.5,1825
482.78,1843.6,523.5,1896
483.60,1844.2,524.5,1960
484.43,1844.7,525.5,1932
485.25,1845.2,526.5,1676
486.07,1845.6,527.5,1830
486.89,1846.0,528.5,1899
487.71,1846.4,529.5,1920
488.53,1846.8,530.5,1954
489.35,1847.1,531.5,1965
490.18,1847.4,532.5,1773
491.00,1847.7,533.5,1925
491.82,1848.0,534.5,1860
492.64,1848.2,535.5,1992
493.46,1848.4,536.5,1873
494.28,1848.6,537.5,1884
495.10,1848.8,538.5,1906
495.93,1848.9,539.5,1834
496.75,1849.0,540.5,1772
497.57,1849.1,541.5,1883
498.39,1849.2,542.5,1827
499.21,1849.2,543.5,1881
500.03,1849.2,544.5,1881
500.85,1849.2,545.5,1903
501.67,1849.2,546.5,1881
502.49,1849.1,547.5,1835
503.31,1849.0,548.5,1865
504.14,1848.9,549.5,1897
504.96,1848.8,550.5,1864
505.78,1848.6,551.5,1873
506.60,1848.5,552.5,1848
507.42,1848.3,553.5,1884
508.24,1848.0,554.5,1900
509.06,1847.8,555.5,1899
509.88,1847.5,556.5,1823
510.70,1847.2,557.5,1848
511.52,1846.9,558.5,1789
512.34,1846.6,559.5,1810
513.16,1846.3,560.5,1845
513.98,1845.9,561.5,1826
514.80,1845.5,562.5,1852
515.63,1845.1,563.5,1863
516.45,1844.6,564.5,1856
517.27,1844.2,565.5,1800
518.09,1843.7,566.5,1831
518.91,1843.2,567.5,1889
519.73,1842.7,568.5,1812
520.55,1842.1,569.5,1862
521.37,1841.6,570.5,1772
522.19,1841.0,571.5,1825
523.01,1840.4,572.5,1894
523.83,1839.8,573.5,1878
524.65,1839.1,574.5,1869
525.47,1838.5,575.5,1832
526.29,1837.8,576.5,1848
527.11,1837.1,577.5,1859
527.93,1836.4,578.5,1786
528.75,1835.6,579.5,1830
529.57,1834.9,580.5,1840
530.39,1834.1,581.5,1855
531.21,1833.3,582.5,1875
532.03,1832.5,583.5,1859
532.85,1831.7,584.5,1862
533.67,1830.9,585.5,1786
534.49,1830.0,586.5,1832
535.31,1829.1,587.5,1850
536.13,1828.2,588.5,1752
536.95,1827.3,589.5,1614
537.77,1826.4,590.5,1815
538.59,1825.4,591.5,1789
539.41,1824.5,592.5,1810
540.22,1823.5,593.5,1798
541.04,1822.5,594.5,1776
541.86,1821.5,595.5,1785
542.68,1820.5,596.5,1807
543.50,1819.4,597.5,1783
544.32,1818.3,598.5,1760
545.14,1817.3,599.5,1777
545.96,1816.2,600.5,1748
546.78,1815.1,601.5,1753
547.60,1813.9,602.5,1721
548.42,1812.8,603.5,1789
549.24,1811.6,604.5,1779
550.06,1810.5,605.5,1766
550.88,1809.3,606.5,1762
551.70,1808.1,607.5,1760
552.51,1806.9,608.5,1745
553.33,1805.7,609.5,1746
554.15,1804.4,610.5,1705
554.97,1803.2,611.5,1748
555.79,1801.9,612.5,1707
556.61,1800.6,613.5,1685
557.43,1799.3,614.5,1715
558.25,1798.0,615.5,1715
559.07,1796.7,616.5,1611
559.88,1795.3,617.5,1709
560.70,1794.0,618.5,1726
561.52,1792.6,619.5,1709
562.34,1791.2,620.5,1736
563.16,1789.8,621.5,1692
563.98,1788.4,622.5,1715
564.80,1787.0,623.5,1668
565.62,1785.6,624.5,1658
566.43,1784.2,625.5,1634
567.25,1782.7,626.5,1699
568.07,1781.2,627.5,1699
568.89,1779.8,628.5,1699
569.71,1778.3,629.5,1679
570.53,1776.8,631.0,1641
571.34,1775.3,633.0,1653
572.16,1773.7,635.0,1658
572.98,1772.2,637.0,1656
573.80,1770.6,639.0,1653
574.62,1769.1,641.0,1616
575.44,1767.5,643.0,1623
