Extraterrestrial Solar Irradiance [mW m^(-2) nm^(-1)],,,
lambda (nm),"E_S,5800K",lambda (nm),"E_S,Wehrli85"
905.92,930.2,2442.5,51
906.73,928.5,2467.5,53
907.53,926.8,2492.5,54
908.34,925.1,2517.5,47
909.15,923.4,2542.5,46
909.95,921.7,2567.5,44
910.76,920.0,2592.5,42
911.56,918.3,2617.5,41
912.37,916.6,2642.5,39
913.17,914.9,2672.5,38
913.98,913.2,2702.5,36
914.78,911.6,2732.5,35
915.59,909.9,2762.5,34
916.40,908.2,2797.5,32
917.20,906.5,2832.5,31
918.01,904.9,2867.5,29
918.81,903.2,2907.5,28
919.62,901.5,2947.5,26
920.42,899.9,2987.5,25
921.23,898.2,3025.0,24
922.03,896.6,3075.0,23
922.84,894.9,3125.0,21
923.64,893.3,3175.0,20
924.45,891.6,3235.0,19
925.25,890.0,3295.0,18
926.06,888.3,3355.0,16
926.87,886.7,3425.0,15
927.67,885.1,3495.0,14
928.48,883.4,3575.0,13
929.28,881.8,3665.0,12
930.09,880.2,3755.0,11
930.89,878.6,3855.0,10
931.70,876.9,3965.0,9
932.50,875.3,4085.0,8
933.31,873.7,4225.0,7
934.11,872.1,4385.0,6
934.92,870.5,4575.0,5
935.72,868.9,4805.0,4
936.52,867.3,5085.0,3
937.33,865.7,5445.0,2
938.13,864.1,5925.0,2
938.94,862.5,6615.0,1
939.74,860.9,7785.0,1
940.55,859.3,10075.0,0
941.35,857.7,,
942.16,856.1,,
942.96,854.6,,
943.77,853.0,,
944.57,851.4,,
945.38,849.8,,
946.18,848.3
946.98,846.7
947.79,845.1
948.59,843.6
949.40,842.0
950.20,840.5
951.01,838.9
951.81,837.4
952.61,835.9
953.42,834.3
954.22,832.8
955.03,831.2
955.83,829.7
956.64,828.2
957.44,826.6
958.24,825.1
959.05,823.6
959.85,822.1
960.65,820.6
961.46,819.0
962.26,817.5
963.07,816.0
963.87,814.5
964.67,813.0
965.48,811.5
966.28,810.0
967.09,808.5
967.89,807.1
968.69,805.6
969.50,804.1
970.30,802.6
971.10,801.1
971.91,799.6
972.71,798.2
973.51,796.7
974.32,795.2
975.12,793.8
975.92,792.3
976.73,790.8
977.53,789.4
978.33,787.9
979.14,786.5
979.94,785.0
980.74,783.6
981.55,782.1
982.35,780.7
983.15,779.3
983.96,777.8
984.76,776.4
985.56,775.0
986.36,773.6
987.17,772.1
987.97,770.7
988.77,769.3
989.58,767.9
990.38,766.5
991.18,765.1
991.98,763.7
992.79,762.2
993.59,760.8
994.39,759.5
995.20,758.0
996.00,756.7
996.80,755.3
997.60,753.9
998.41,752.5
999.21,751.1
1000.00,749.8
1000.80,748.4
1001.60,747.0
1002.40,745.6
1003.20,744.3
1004.00,742.9
1004.80,741.6
1005.60,740.2
1006.40,738.8
1007.20,737.5
1008.00,736.1
1008.80,734.8
1009.60,733.5
1010.40,732.1
1011.20,730.8
1012.00,729.4
1012.80,728.1
1013.70,726.6
1014.50,725.3
1015.30,723.9
1016.00,722.8
1016.90,721.3
1017.70,720.0
1018.50,718.7
1019.30,717.4
1020.10,716.0
1020.90,714.7
1021.70,713.4
1022.50,712.1
1023.30,710.8
1024.10,709.5
