Wavelength (nm),sun (Outdoor 17/04/1996),Wavelength (nm),small sun simulator (Tempax/Tempax)
2.900000000000000e+2,1.006297000000000e-3,2.800000000000000e+2,1.811145000000000e-3
2.910000000000000e+2,1.422001000000000e-4,2.810000000000000e+2,1.931423000000000e-3
2.920000000000000e+2,9.444252000000000e-4,2.820000000000000e+2,4.305046999999999e-3
2.930000000000000e+2,3.648393000000000e-3,2.830000000000000e+2,-6.985331999999999e-4
2.940000000000000e+2,1.084373000000000e-2,2.840000000000000e+2,3.067643000000000e-3
2.950000000000000e+2,3.124756000000000e-2,2.850000000000000e+2,7.343713000000000e-3
2.960000000000000e+2,1.100333000000000e-1,2.860000000000000e+2,5.574335000000000e-3
2.970000000000000e+2,2.241582000000000e-1,2.870000000000000e+2,8.860294000000000e-3
2.980000000000000e+2,6.080595000000000e-1,2.880000000000000e+2,1.128020000000000e-2
2.990000000000000e+2,1.061803000000000e+0,2.890000000000000e+2,1.738385000000000e-2
3.000000000000000e+2,2.033416000000000e+0,2.900000000000000e+2,3.097467000000000e-2
3.010000000000000e+2,3.345435000000000e+0,2.910000000000000e+2,5.127217000000000e-2
3.020000000000000e+2,5.727743999999999e+0,2.920000000000000e+2,8.724950000000000e-2
3.030000000000000e+2,1.102761000000000e+1,2.930000000000000e+2,1.574955000000000e-1
3.040000000000000e+2,1.800080000000000e+1,2.940000000000000e+2,2.778812000000000e-1
3.050000000000000e+2,2.487832000000000e+1,2.950000000000000e+2,4.847898000000000e-1
3.060000000000000e+2,3.247545000000000e+1,2.960000000000000e+2,8.038582999999998e-1
3.070000000000000e+2,4.035001999999999e+1,2.970000000000000e+2,1.378986000000000e+0
3.080000000000000e+2,5.681758000000000e+1,2.980000000000000e+2,2.069278000000000e+0
3.090000000000000e+2,6.593449000000000e+1,2.990000000000000e+2,3.102866000000000e+0
3.100000000000000e+2,6.606751999999998e+1,3.000000000000000e+2,4.604292999999999e+0
3.110000000000000e+2,1.039213000000000e+2,3.010000000000000e+2,6.745942999999999e+0
3.120000000000000e+2,1.231923000000000e+2,3.020000000000000e+2,1.002135000000000e+1
3.130000000000000e+2,1.343535000000000e+2,3.030000000000000e+2,1.339511000000000e+1
3.140000000000000e+2,1.525157000000000e+2,3.040000000000000e+2,1.783898000000000e+1
3.150000000000000e+2,1.644408000000000e+2,3.050000000000000e+2,2.306449000000000e+1
3.160000000000000e+2,1.582385000000000e+2,3.060000000000000e+2,3.020394000000000e+1
3.170000000000000e+2,1.904610000000000e+2,3.070000000000000e+2,3.786049000000000e+1
3.180000000000000e+2,2.176991000000000e+2,3.080000000000000e+2,4.646590000000000e+1
3.190000000000000e+2,2.177805000000000e+2,3.090000000000000e+2,5.853192000000000e+1
3.200000000000000e+2,2.374443000000000e+2,3.100000000000000e+2,7.046861000000000e+1
3.210000000000000e+2,2.738925000000000e+2,3.110000000000000e+2,8.319654000000000e+1
3.220000000000000e+2,2.581738000000000e+2,3.120000000000000e+2,1.138979000000000e+2
3.230000000000000e+2,2.440965000000000e+2,3.130000000000000e+2,1.729008000000000e+2
3.240000000000000e+2,2.719022000000000e+2,3.140000000000000e+2,1.361312000000000e+2
3.250000000000000e+2,3.066905000000000e+2,3.150000000000000e+2,1.481608000000000e+2
3.260000000000000e+2,3.724818000000000e+2,3.160000000000000e+2,1.654021000000000e+2
3.270000000000000e+2,4.223065999999999e+2,3.170000000000000e+2,1.880111000000000e+2
3.280000000000000e+2,4.018946999999999e+2,3.180000000000000e+2,2.086646000000000e+2
3.290000000000000e+2,4.045247000000000e+2,3.190000000000000e+2,2.256477000000000e+2
3.300000000000000e+2,4.889014000000000e+2,3.200000000000000e+2,2.379678000000000e+2
3.310000000000000e+2,4.459478000000000e+2,3.210000000000000e+2,2.605180000000000e+2
3.320000000000000e+2,4.375510000000000e+2,3.220000000000000e+2,2.760770000000000e+2
3.330000000000000e+2,4.440855000000000e+2,3.230000000000000e+2,3.241557000000000e+2
3.340000000000000e+2,4.261522000000000e+2,3.240000000000000e+2,3.193089000000000e+2
3.350000000000000e+2,4.545366000000000e+2,3.250000000000000e+2,3.274804000000000e+2
3.360000000000000e+2,4.453049000000000e+2,3.260000000000000e+2,3.397740000000000e+2
3.370000000000000e+2,3.828674999999999e+2,3.270000000000000e+2,3.466721000000000e+2
3.380000000000000e+2,4.141770000000000e+2,3.280000000000000e+2,3.566736000000000e+2
3.390000000000000e+2,4.571369999999999e+2,3.290000000000000e+2,3.664564000000000e+2
3.400000000000000e+2,4.889976999999999e+2,3.300000000000000e+2,3.771079999999999e+2
3.410000000000000e+2,4.941706999999999e+2,3.310000000000000e+2,3.840228000000000e+2
3.420000000000000e+2,4.724415000000000e+2,3.320000000000000e+2,3.843026000000000e+2
3.430000000000000e+2,5.079668000000000e+2,3.330000000000000e+2,3.883961000000000e+2
3.440000000000000e+2,4.604802000000000e+2,3.340000000000000e+2,4.225862000000000e+2
3.450000000000000e+2,4.140119000000000e+2,3.350000000000000e+2,4.151117000000000e+2
3.460000000000000e+2,4.772990000000000e+2,3.360000000000000e+2,4.003601000000000e+2
3.470000000000000e+2,4.809974000000000e+2,3.370000000000000e+2,4.044785000000000e+2
3.480000000000000e+2,4.718945000000000e+2,3.380000000000000e+2,3.974417000000000e+2
3.490000000000000e+2,4.782027000000000e+2,3.390000000000000e+2,4.450531999999999e+2
3.500000000000000e+2,4.857732000000000e+2,3.400000000000000e+2,4.712324999999999e+2
3.510000000000000e+2,5.577724999999999e+2,3.410000000000000e+2,4.553350999999999e+2
3.520000000000000e+2,5.245479999999999e+2,3.420000000000000e+2,5.027451000000000e+2
3.530000000000000e+2,4.962385000000000e+2,3.430000000000000e+2,5.034573000000000e+2
3.540000000000000e+2,5.776985999999999e+2,3.440000000000000e+2,4.863728999999999e+2
3.550000000000000e+2,6.121464999999999e+2,3.450000000000000e+2,4.971530000000000e+2
3.560000000000000e+2,5.764668999999999e+2,3.460000000000000e+2,5.385377000000000e+2
3.570000000000000e+2,4.866296999999999e+2,3.470000000000000e+2,5.291446999999999e+2
3.580000000000000e+2,4.425153000000000e+2,3.480000000000000e+2,4.816310000000000e+2
3.590000000000000e+2,4.060467000000000e+2,3.490000000000000e+2,4.836548000000000e+2
3.600000000000000e+2,5.837851999999999e+2,3.500000000000000e+2,5.529224999999999e+2
3.610000000000000e+2,5.282845000000000e+2,3.510000000000000e+2,7.374416000000000e+2
3.620000000000000e+2,4.969917999999999e+2,3.520000000000000e+2,1.114556000000000e+3
3.630000000000000e+2,5.762603999999999e+2,3.530000000000000e+2,1.075957000000000e+3
3.640000000000000e+2,5.752492999999999e+2,3.540000000000000e+2,7.540224000000000e+2
3.650000000000000e+2,5.747731000000000e+2,3.550000000000000e+2,6.280151000000000e+2
3.660000000000000e+2,6.809480999999999e+2,3.560000000000000e+2,6.080265999999999e+2
3.670000000000000e+2,6.972176999999999e+2,3.570000000000000e+2,5.952437000000000e+2
3.680000000000000e+2,6.640437999999999e+2,3.580000000000000e+2,6.191631000000000e+2
3.690000000000000e+2,6.401380999999999e+2,3.590000000000000e+2,6.471088000000000e+2
3.700000000000000e+2,7.195246999999999e+2,3.600000000000000e+2,7.183167000000000e+2
3.710000000000000e+2,6.506849999999999e+2,3.610000000000000e+2,6.979226000000000e+2
3.720000000000000e+2,6.648176999999999e+2,3.620000000000000e+2,7.483191999999998e+2
3.730000000000000e+2,6.036206000000000e+2,3.630000000000000e+2,7.274906000000000e+2
3.740000000000000e+2,5.254545999999999e+2,3.640000000000000e+2,8.570793000000000e+2
3.750000000000000e+2,5.198402999999999e+2,3.650000000000000e+2,1.838948000000000e+3
3.760000000000000e+2,6.184982000000000e+2,3.660000000000000e+2,1.159620000000000e+3
3.770000000000000e+2,6.375386000000000e+2,3.670000000000000e+2,1.062539000000000e+3
3.780000000000000e+2,7.725707000000000e+2,3.680000000000000e+2,9.654219999999998e+2
3.790000000000000e+2,7.561851000000000e+2,3.690000000000000e+2,9.265845000000000e+2
3.800000000000000e+2,6.245182000000000e+2,3.700000000000000e+2,9.543209000000000e+2
3.810000000000000e+2,7.219717000000000e+2,3.710000000000000e+2,7.558502000000000e+2
3.820000000000000e+2,6.128535999999999e+2,3.720000000000000e+2,8.821121000000000e+2
3.830000000000000e+2,4.516507000000000e+2,3.730000000000000e+2,8.132438000000000e+2
3.840000000000000e+2,4.188176000000000e+2,3.740000000000000e+2,7.796754000000000e+2
3.850000000000000e+2,5.912213999999999e+2,3.750000000000000e+2,8.098399000000000e+2
3.860000000000000e+2,5.804309999999999e+2,3.760000000000000e+2,9.018889999999998e+2
3.870000000000000e+2,5.946903999999999e+2,3.770000000000000e+2,8.232920999999998e+2
3.880000000000000e+2,5.899499999999999e+2,3.780000000000000e+2,4.925583000000000e+2
3.890000000000000e+2,5.859486999999999e+2,3.790000000000000e+2,5.226745000000000e+2
3.900000000000000e+2,7.163330999999999e+2,3.800000000000000e+2,3.882516000000000e+2
3.910000000000000e+2,7.577802000000000e+2,3.810000000000000e+2,2.990175000000000e+2
3.920000000000000e+2,7.967090000000000e+2,3.820000000000000e+2,2.962412000000000e+2
3.930000000000000e+2,5.556042000000000e+2,3.830000000000000e+2,4.252107000000000e+2
3.940000000000000e+2,3.717895999999999e+2,3.840000000000000e+2,5.200868999999999e+2
3.950000000000000e+2,6.754378999999999e+2,3.850000000000000e+2,4.601493999999999e+2
3.960000000000000e+2,7.812886000000000e+2,3.860000000000000e+2,4.054899000000000e+2
3.970000000000000e+2,4.564837000000000e+2,3.870000000000000e+2,5.205635999999999e+2
3.980000000000000e+2,6.576952000000000e+2,3.880000000000000e+2,6.481011999999999e+2
3.990000000000000e+2,9.482847000000000e+2,3.890000000000000e+2,6.691635000000000e+2
4.000000000000000e+2,1.021843000000000e+3,3.900000000000000e+2,5.183910999999999e+2
4.020000000000000e+2,1.114272000000000e+3,3.910000000000000e+2,5.335626000000000e+2
4.040000000000000e+2,1.095744000000000e+3,3.920000000000000e+2,6.495948999999999e+2
4.060000000000000e+2,1.055158000000000e+3,3.930000000000000e+2,5.529154999999999e+2
4.080000000000000e+2,1.088367000000000e+3,3.940000000000000e+2,6.339330000000000e+2
4.100000000000000e+2,1.119620000000000e+3,3.950000000000000e+2,7.564599000000000e+2
4.120000000000000e+2,1.168846000000000e+3,3.960000000000000e+2,7.143123999999999e+2
4.140000000000000e+2,1.174108000000000e+3,3.970000000000000e+2,6.548107000000000e+2
4.160000000000000e+2,1.183106000000000e+3,3.980000000000000e+2,5.851142999999999e+2
4.180000000000000e+2,1.155719000000000e+3,3.990000000000000e+2,6.549621999999999e+2
4.200000000000000e+2,1.154655000000000e+3,4.000000000000000e+2,7.958063000000000e+2
4.220000000000000e+2,1.169890000000000e+3,4.020000000000000e+2,8.644337000000000e+2
4.240000000000000e+2,1.139294000000000e+3,4.040000000000000e+2,1.342907000000000e+3
4.260000000000000e+2,1.135062000000000e+3,4.060000000000000e+2,1.384299000000000e+3
4.280000000000000e+2,1.102107000000000e+3,4.080000000000000e+2,9.927811000000000e+2
4.300000000000000e+2,9.506076000000000e+2,4.100000000000000e+2,1.244905000000000e+3
4.320000000000000e+2,1.050216000000000e+3,4.120000000000000e+2,1.171452000000000e+3
4.340000000000000e+2,1.151745000000000e+3,4.140000000000000e+2,1.184661000000000e+3
4.360000000000000e+2,1.229592000000000e+3,4.160000000000000e+2,1.012785000000000e+3
4.380000000000000e+2,1.211137000000000e+3,4.180000000000000e+2,1.242636000000000e+3
4.400000000000000e+2,1.200148000000000e+3,4.200000000000000e+2,1.418145000000000e+3
4.420000000000000e+2,1.307690000000000e+3,4.220000000000000e+2,1.724564000000000e+3
4.440000000000000e+2,1.355924000000000e+3,4.240000000000000e+2,1.228371000000000e+3
4.460000000000000e+2,1.327447000000000e+3,4.260000000000000e+2,1.179004000000000e+3
4.480000000000000e+2,1.387299000000000e+3,4.280000000000000e+2,1.150671000000000e+3
4.500000000000000e+2,1.445843000000000e+3,4.300000000000000e+2,1.144414000000000e+3
4.520000000000000e+2,1.456367000000000e+3,4.320000000000000e+2,1.220438000000000e+3
4.540000000000000e+2,1.381444000000000e+3,4.340000000000000e+2,1.054161000000000e+3
4.560000000000000e+2,1.420208000000000e+3,4.360000000000000e+2,4.017637000000000e+3
4.580000000000000e+2,1.438859000000000e+3,4.380000000000000e+2,1.923122000000000e+3
4.600000000000000e+2,1.416875000000000e+3,4.400000000000000e+2,1.179537000000000e+3
4.620000000000000e+2,1.461041000000000e+3,4.420000000000000e+2,1.131350000000000e+3
4.640000000000000e+2,1.453375000000000e+3,4.440000000000000e+2,1.087382000000000e+3
4.660000000000000e+2,1.419207000000000e+3,4.460000000000000e+2,1.238380000000000e+3
4.680000000000000e+2,1.408762000000000e+3,4.480000000000000e+2,1.194212000000000e+3
4.700000000000000e+2,1.402599000000000e+3,4.500000000000000e+2,1.302193000000000e+3
4.720000000000000e+2,1.420161000000000e+3,4.520000000000000e+2,1.214732000000000e+3
4.740000000000000e+2,1.445527000000000e+3,4.540000000000000e+2,1.152296000000000e+3
4.760000000000000e+2,1.442325000000000e+3,4.560000000000000e+2,1.277569000000000e+3
4.780000000000000e+2,1.456954000000000e+3,4.580000000000000e+2,1.260583000000000e+3
4.800000000000000e+2,1.477423000000000e+3,4.600000000000000e+2,1.260279000000000e+3
4.820000000000000e+2,1.483109000000000e+3,4.620000000000000e+2,1.233806000000000e+3
4.840000000000000e+2,1.449374000000000e+3,4.640000000000000e+2,1.170657000000000e+3
4.860000000000000e+2,1.296085000000000e+3,4.660000000000000e+2,1.181536000000000e+3
4.880000000000000e+2,1.304591000000000e+3,4.680000000000000e+2,1.447938000000000e+3
4.900000000000000e+2,1.405647000000000e+3,4.700000000000000e+2,1.298425000000000e+3
4.920000000000000e+2,1.389121000000000e+3,4.720000000000000e+2,1.221983000000000e+3
4.940000000000000e+2,1.402603000000000e+3,4.740000000000000e+2,1.284639000000000e+3
4.960000000000000e+2,1.427209000000000e+3,4.760000000000000e+2,1.131901000000000e+3
4.980000000000000e+2,1.405441000000000e+3,4.780000000000000e+2,1.182724000000000e+3
5.000000000000000e+2,1.372631000000000e+3,4.800000000000000e+2,1.040743000000000e+3
5.020000000000000e+2,1.334466000000000e+3,4.820000000000000e+2,1.292333000000000e+3
5.040000000000000e+2,1.357260000000000e+3,4.840000000000000e+2,1.329769000000000e+3
5.060000000000000e+2,1.396695000000000e+3,4.860000000000000e+2,1.097041000000000e+3
5.080000000000000e+2,1.375577000000000e+3,4.880000000000000e+2,1.337354000000000e+3
5.100000000000000e+2,1.378969000000000e+3,4.900000000000000e+2,1.077970000000000e+3
5.120000000000000e+2,1.379054000000000e+3,4.920000000000000e+2,1.089898000000000e+3
5.140000000000000e+2,1.332039000000000e+3,4.940000000000000e+2,1.182586000000000e+3
5.160000000000000e+2,1.290480000000000e+3,4.960000000000000e+2,1.025592000000000e+3
5.180000000000000e+2,1.194263000000000e+3,4.980000000000000e+2,9.792230000000000e+2
5.200000000000000e+2,1.279280000000000e+3,5.000000000000000e+2,1.037859000000000e+3
5.220000000000000e+2,1.321460000000000e+3,5.020000000000000e+2,1.110884000000000e+3
5.240000000000000e+2,1.337554000000000e+3,5.040000000000000e+2,1.332423000000000e+3
5.260000000000000e+2,1.321601000000000e+3,5.060000000000000e+2,1.566835000000000e+3
5.280000000000000e+2,1.287122000000000e+3,5.080000000000000e+2,1.275083000000000e+3
5.300000000000000e+2,1.363881000000000e+3,5.100000000000000e+2,1.012935000000000e+3
5.320000000000000e+2,1.356783000000000e+3,5.120000000000000e+2,1.149315000000000e+3
5.340000000000000e+2,1.320996000000000e+3,5.140000000000000e+2,1.085555000000000e+3
5.360000000000000e+2,1.359113000000000e+3,5.160000000000000e+2,1.307565000000000e+3
5.380000000000000e+2,1.339705000000000e+3,5.180000000000000e+2,1.259890000000000e+3
5.400000000000000e+2,1.304968000000000e+3,5.200000000000000e+2,1.231860000000000e+3
5.420000000000000e+2,1.295261000000000e+3,5.220000000000000e+2,1.201623000000000e+3
5.440000000000000e+2,1.316794000000000e+3,5.240000000000000e+2,1.138795000000000e+3
5.460000000000000e+2,1.323701000000000e+3,5.260000000000000e+2,1.008760000000000e+3
5.480000000000000e+2,1.307708000000000e+3,5.280000000000000e+2,1.007576000000000e+3
5.500000000000000e+2,1.316541000000000e+3,5.300000000000000e+2,1.188247000000000e+3
5.520000000000000e+2,1.312061000000000e+3,5.320000000000000e+2,1.476758000000000e+3
5.540000000000000e+2,1.308918000000000e+3,5.340000000000000e+2,1.807107000000000e+3
5.560000000000000e+2,1.306775000000000e+3,5.360000000000000e+2,5.350575999999999e+3
5.580000000000000e+2,1.268786000000000e+3,5.380000000000000e+2,3.889077000000000e+3
5.600000000000000e+2,1.248703000000000e+3,5.400000000000000e+2,2.508388000000000e+3
5.620000000000000e+2,1.269374000000000e+3,5.420000000000000e+2,1.527547000000000e+3
5.640000000000000e+2,1.270483000000000e+3,5.440000000000000e+2,1.144018000000000e+3
5.660000000000000e+2,1.252705000000000e+3,5.460000000000000e+2,2.357108000000000e+3
5.680000000000000e+2,1.257906000000000e+3,5.480000000000000e+2,1.795972000000000e+3
5.700000000000000e+2,1.243544000000000e+3,5.500000000000000e+2,1.179437000000000e+3
5.720000000000000e+2,1.234667000000000e+3,5.520000000000000e+2,1.134293000000000e+3
5.740000000000000e+2,1.262764000000000e+3,5.540000000000000e+2,1.165911000000000e+3
5.760000000000000e+2,1.239637000000000e+3,5.560000000000000e+2,1.337197000000000e+3
5.780000000000000e+2,1.231482000000000e+3,5.580000000000000e+2,1.445029000000000e+3
5.800000000000000e+2,1.224849000000000e+3,5.600000000000000e+2,1.214374000000000e+3
5.820000000000000e+2,1.252694000000000e+3,5.620000000000000e+2,1.295911000000000e+3
5.840000000000000e+2,1.265106000000000e+3,5.640000000000000e+2,1.299623000000000e+3
5.860000000000000e+2,1.239267000000000e+3,5.660000000000000e+2,1.236086000000000e+3
5.880000000000000e+2,1.229341000000000e+3,5.680000000000000e+2,1.363238000000000e+3
5.900000000000000e+2,1.163847000000000e+3,5.700000000000000e+2,1.127135000000000e+3
5.920000000000000e+2,1.215235000000000e+3,5.720000000000000e+2,1.321233000000000e+3
5.940000000000000e+2,1.217073000000000e+3,5.740000000000000e+2,1.229073000000000e+3
5.960000000000000e+2,1.213109000000000e+3,5.760000000000000e+2,1.585151000000000e+3
5.980000000000000e+2,1.210364000000000e+3,5.780000000000000e+2,1.709349000000000e+3
6.000000000000000e+2,1.198087000000000e+3,5.800000000000000e+2,1.601969000000000e+3
6.020000000000000e+2,1.181386000000000e+3,5.820000000000000e+2,1.129912000000000e+3
6.040000000000000e+2,1.200619000000000e+3,5.840000000000000e+2,1.034990000000000e+3
6.060000000000000e+2,1.204314000000000e+3,5.860000000000000e+2,1.214429000000000e+3
6.080000000000000e+2,1.193699000000000e+3,5.880000000000000e+2,1.182568000000000e+3
6.100000000000000e+2,1.178486000000000e+3,5.900000000000000e+2,1.665584000000000e+3
6.120000000000000e+2,1.176155000000000e+3,5.920000000000000e+2,1.327448000000000e+3
6.140000000000000e+2,1.161448000000000e+3,5.940000000000000e+2,1.432059000000000e+3
6.160000000000000e+2,1.148951000000000e+3,5.960000000000000e+2,1.221828000000000e+3
6.180000000000000e+2,1.153838000000000e+3,5.980000000000000e+2,1.765394000000000e+3
