"","no","peakTime","peak","baseline1","baseline2","baseline","amplitude","relAmp","percDiff","duration","irradGain","relIrrad","irradTot","baselineTime1","baselineTime2","symmetry","z","timeInterval"
"621",621,27057,123.51,154.28,199.67,176.975,53.46,53.465,0.3021,23,-704.336790566038,-704.336790566038,3543.16647735849,27048,27071,"symmetric","270571",46
"737",737,31872,221.82,477.53,463.22,470.375,248.56,248.555,0.5284,23,-3124.37635471698,-3124.37635471698,8164.55227924528,31866,31889,"symmetric","318721",24
"1111",1111,50929,23.16,37.29,78.62,57.955,34.8,34.795,0.6005,23,-389.565658867925,-389.565658867925,1001.27435773585,50923,50946,"symmetric","509291",139
"1142",1142,52308,223.1,287.72,377.82,332.77,109.67,109.67,0.3296,23,-1094.31392264151,-1094.31392264151,6892.14139811321,52299,52322,"symmetric","523081",26
"1206",1206,55840,631.79,784.62,1360.48,1072.55,440.76,440.76,0.4109,23,-6112.57690188679,-6112.57690188679,19628.6425471698,55828,55851,"symmetric","558401",55
"1320",1320,66404,236.64,314.9,359.18,337.04,100.4,100.4,0.2979,23,-1755.82925660377,-1755.82925660377,6333.05122641509,66385,66408,"symmetric","664041",35
"1369",1369,70041,118.17,164.41,344.73,254.57,136.4,136.4,0.5358,23,-2755.60851735849,-2755.60851735849,3354.05398075472,70023,70046,"symmetric","700411",60
"1442",1442,73591,373.62,523.11,512.53,517.82,144.2,144.2,0.2785,23,-2436.62163962264,-2436.62163962264,9991.09261698113,73583,73606,"symmetric","735911",53
"1502",1502,75848,660.11,784.91,1136.57,960.74,300.63,300.63,0.3129,23,-2189.13909622642,-2189.13909622642,20868.7054245283,75839,75862,"symmetric","758481",18
"1645",1645,80326,455.97,1054.2,1032.24,1043.22,587.25,587.25,0.5629,23,-9172.45433207547,-9172.45433207547,15864.7807698113,80316,80339,"symmetric","803261",18
"1677",1677,81261,288.36,1198.65,736.62,967.635,679.28,679.275,0.702,23,-9840.01374339623,-9840.01374339623,13383.236445283,81255,81278,"symmetric","812611",10
"2097",2097,102183,93.11,226.52,117.48,226.52,133.41,133.41,0.589,23,-462.855353773585,-462.855353773585,3665.06554584906,102165,102188,"asymmetric","1021831",38
"2485",2485,120857,325.2,517.38,503.82,510.6,185.4,185.4,0.3631,23,-2971.11791886792,-2971.11791886792,9283.2327,120850,120873,"symmetric","1208571",17
"2529",2529,122620,328.26,885.01,537.76,711.385,383.12,383.125,0.5386,23,-5418.96116603774,-5418.96116603774,11654.3459886792,122606,122629,"symmetric","1226201",19
"2687",2687,127581,352.35,480.3,394.34,437.32,84.97,84.97,0.1943,23,-1128.52541886793,-1128.52541886793,9367.20658867924,127568,127591,"symmetric","1275811",30
"2787",2787,133711,385.42,1125.87,1035.57,1080.72,695.3,695.3,0.6434,23,-14755.773345283,-14755.773345283,11181.4141415094,133707,133730,"symmetric","1337111",17
"3011",3011,141770,191.03,231.51,228.3,229.905,38.88,38.875,0.1691,23,-574.650696226415,-574.650696226415,4943.07806603774,141758,141781,"symmetric","1417701",32
"27",27,1206,531.38,652.93,1001.97,827.45,296.07,296.07,0.3578,22,-3862.36929056604,-3862.36929056604,15169.0509679245,1196,1218,"symmetric","12061",25
"125",125,4263,732.42,1198.02,861.84,1029.93,297.51,297.51,0.2889,22,-3673.20721415094,-3673.20721415094,20015.1855849057,4250,4272,"symmetric","42631",18
"177",177,7512,229.06,456.82,292.66,374.74,145.68,145.68,0.3887,22,-1884.3174,-1884.3174,6734.75016226415,7495,7517,"symmetric","75121",43
"341",341,13564,208.24,755.54,629.74,692.64,484.4,484.4,0.6994,22,-7966.56990566038,-7966.56990566038,7964.21180377358,13550,13572,"symmetric","135641",19
"379",379,14696,91.45,204.84,143.71,174.275,82.83,82.825,0.4753,22,245.252058113208,245.252058113208,4253.60162037736,14679,14701,"symmetric","146961",24
"520",520,19346,740.4,1062.79,1000.02,1031.405,291,291.005,0.2821,22,-4858.16173301887,-4858.16173301887,18864.192345283,19330,19352,"symmetric","193461",25
"573",573,24939,12.34,23.32,31.96,27.64,15.3,15.3,0.5535,22,-173.659939811321,-173.659939811321,462.039325471698,24932,24954,"symmetric","249391",167
"638",638,27544,659.03,730.13,894.96,812.545,153.52,153.515,0.1889,22,-2301.32973396226,-2301.32973396226,16387.2516566038,27532,27554,"symmetric","275441",19
"675",675,30243,48.87,80.2,95.37,87.785,38.92,38.915,0.4434,22,-440.883188490566,-440.883188490566,1578.19606132075,30233,30255,"symmetric","302431",21
"968",968,45429,245.11,270.37,340.76,305.565,60.45,60.455,0.1978,22,-769.612695283019,-769.612695283019,6258.48430754717,45424,45446,"symmetric","454291",159
"1134",1134,51808,64.05,87.19,81.3,84.245,20.2,20.195,0.2398,22,-223.755976698113,-223.755976698113,1713.91366867925,51799,51821,"symmetric","518081",35
"1161",1161,52950,115.48,186.04,153.08,169.56,54.08,54.08,0.3189,22,-739.723308113208,-739.723308113208,3160.13579660377,52934,52956,"symmetric","529501",62
"1272",1272,64435,49.27,65.37,95.31,80.34,31.07,31.07,0.3867,22,-41.4127171698112,-41.4127171698112,1806.45023207547,64433,64455,"symmetric","644351",74
"1593",1593,78710,30.3,63.79,74.28,69.035,38.74,38.735,0.5612,22,-465.757300188679,-465.757300188679,1122.04623735849,78700,78722,"symmetric","787101",24
"1618",1618,79375,263.16,1062.98,705.24,884.11,620.95,620.95,0.7023,22,-8189.60518018868,-8189.60518018868,12144.9759622642,79368,79390,"symmetric","793751",17
"1626",1626,79750,32.46,78.82,66.86,72.84,40.38,40.38,0.5544,22,-470.686978867924,-470.686978867924,1204.65392943396,79740,79762,"symmetric","797501",61
"1699",1699,81733,56.91,131.3,74.79,103.045,46.14,46.135,0.4478,22,-676.213614339623,-676.213614339623,1693.83175301887,81717,81739,"symmetric","817331",29
"1881",1881,91978,143.26,154.51,342.32,342.32,199.06,199.06,0.5815,22,-881.946866037736,-881.946866037736,4831.59683207547,91976,91998,"asymmetric","919781",22
"1886",1886,92159,41.09,53.38,85.06,69.22,28.13,28.13,0.4064,22,-352.141299339622,-352.141299339622,1239.95332867925,92147,92169,"symmetric","921591",28
"1940",1940,94720,540.6,952.66,633.8,793.23,252.63,252.63,0.3185,22,-2996.7677745283,-2996.7677745283,15247.4586283019,94710,94732,"symmetric","947201",40
"1959",1959,95199,74.91,223.84,139.89,181.865,106.96,106.955,0.5881,22,-1803.0796845283,-1803.0796845283,2379.76912018868,95181,95203,"symmetric","951991",66
"2165",2165,104800,640.39,1463.3,863.6,1163.45,523.06,523.06,0.4496,22,-9699.56178113208,-9699.56178113208,17059.7582320755,104795,104817,"symmetric","1048001",35
"2261",2261,110742,169.3,259.49,231.85,245.67,76.37,76.37,0.3109,22,-997.620333962264,-997.620333962264,4652.74423018868,110730,110752,"symmetric","1107421",89
"2303",2303,112644,152.38,176.01,212.6,194.305,41.93,41.925,0.2158,22,-501.991132075471,-501.991132075471,3966.99553018868,112636,112658,"symmetric","1126441",242
"2581",2581,124186,316.03,482.55,780.3,631.425,315.4,315.395,0.4995,22,-5069.84185188679,-5069.84185188679,9452.85770377358,124178,124200,"symmetric","1241861",16
"2588",2588,124312,361.51,978.63,527.53,753.08,391.57,391.57,0.52,22,-5956.2099509434,-5956.2099509434,11364.591990566,124303,124325,"symmetric","1243121",18
"2626",2626,125598,383.51,457.97,707.03,582.5,198.99,198.99,0.3416,22,-3093.36103867924,-3093.36103867924,10304.1052641509,125593,125615,"symmetric","1255981",16
"2686",2686,127551,334.13,372.26,497.55,434.905,100.77,100.775,0.2317,22,-1338.79564528302,-1338.79564528302,8663.98216415094,127544,127566,"symmetric","1275511",25
"2688",2688,127639,254.87,322.4,275.86,299.13,44.26,44.26,0.148,22,-535.52597264151,-535.52597264151,6344.43401886792,127624,127646,"symmetric","1276391",58
"2840",2840,135368,174.54,292.55,343.9,318.225,143.69,143.685,0.4515,22,-1999.33043773585,-1999.33043773585,5319.78181132075,135352,135374,"symmetric","1353681",67
"3046",3046,143560,72.18,86.56,106.94,96.75,24.57,24.57,0.254,22,-319.364699433962,-319.364699433962,1905.85995283019,143552,143574,"symmetric","1435601",76
"3072",3072,144235,204.68,284.68,235.06,259.87,55.19,55.19,0.2124,22,-706.481762264151,-706.481762264151,5270.5557509434,144224,144246,"symmetric","1442351",63
"175",175,7409,126.49,401.48,218.24,309.86,183.37,183.37,0.5918,21,-2042.69038981132,-2042.69038981132,4774.20024226415,7401,7422,"symmetric","74091",19
"262",262,10656,165.34,217.76,256.86,237.31,71.97,71.97,0.3033,21,-1033.90999811321,-1033.90999811321,4186.85126603774,10642,10663,"symmetric","106561",96
"297",297,11659,27.01,51.12,66.06,58.59,31.58,31.58,0.539,21,-359.363744150943,-359.363744150943,929.527211886792,11653,11674,"symmetric","116591",37
"324",324,12913,94.53,129.26,123.49,126.375,31.84,31.845,0.2519,21,-523.97643226415,-523.97643226415,2256.30949415094,12907,12928,"symmetric","129131",32
"372",372,14583,209.48,362.96,264.33,313.645,104.16,104.165,0.3321,21,-950.627801886792,-950.627801886792,5949.4999754717,14568,14589,"symmetric","145831",32
"567",567,24637,229.49,318.45,290.03,304.24,74.75,74.75,0.2457,21,-978.776796226416,-978.776796226416,5714.52055471698,24623,24644,"symmetric","246371",22
"580",580,25128,92.48,117.15,200.5,158.825,66.34,66.345,0.4177,21,-856.026859245283,-856.026859245283,2638.10856056604,25121,25142,"symmetric","251281",34
"650",650,28241,182.91,195.69,284.77,284.77,101.86,101.86,0.3577,21,-572.595350943395,-572.595350943395,4712.48415849057,28237,28258,"asymmetric","282411",51
"1085",1085,50073,340.97,447.78,501.54,474.66,133.69,133.69,0.2817,21,-1698.78073584906,-1698.78073584906,8743.75252641509,50063,50084,"symmetric","500731",45
"1507",1507,75937,193.7,213.38,258.66,236.02,42.32,42.32,0.1793,21,-521.719166037737,-521.719166037737,4670.68009245283,75935,75956,"symmetric","759371",27
"1569",1569,77901,115.07,311.41,194.19,252.8,137.73,137.73,0.5448,21,-1443.23488188679,-1443.23488188679,4118.40392943396,77889,77910,"symmetric","779011",61
"1711",1711,82207,401.63,518.04,716.54,617.29,215.66,215.66,0.3494,21,-2567.46396226415,-2567.46396226415,11012.9837603774,82197,82218,"symmetric","822071",35
"2153",2153,104189,56.88,144.39,79.72,112.055,55.17,55.175,0.4923,21,-739.66405245283,-739.66405245283,1725.57139075472,104173,104194,"symmetric","1041891",21
"2539",2539,122796,98.99,275.38,111.2,275.38,176.39,176.39,0.6405,21,678.089231320755,678.089231320755,4930.52355679245,122778,122799,"asymmetric","1227961",26
"2613",2613,125079,356.77,1347.72,665.65,1006.685,649.92,649.915,0.6456,21,-10326.1812962264,-10326.1812962264,11820.8146924528,125072,125093,"symmetric","1250791",35
"2743",2743,132345,34.11,94.76,117.28,106.02,71.91,71.91,0.6783,21,-859.605746603773,-859.605746603773,1472.84906603774,132331,132352,"symmetric","1323451",39
"2961",2961,139611,353.67,401.6,383.25,392.425,38.75,38.755,0.0987,21,-553.31378490566,-553.31378490566,8080.02791320755,139604,139625,"symmetric","1396111",139
"2989",2989,141128,280.21,329.03,369.37,349.2,68.99,68.99,0.1976,21,-1003.07233018868,-1003.07233018868,6679.25893018868,141115,141136,"symmetric","1411281",21
"3034",3034,143085,126.33,336.33,191.81,264.07,137.74,137.74,0.5216,21,-1675.91956924528,-1675.91956924528,4133.64456849057,143076,143097,"symmetric","1430851",15
"131",131,4416,385.27,398.47,777.41,777.41,392.14,392.14,0.5044,20,-1252.93918584906,-1252.93918584906,11093.742390566,4414,4434,"asymmetric","44161",29
"148",148,6334,386.21,474.77,680.61,577.69,191.48,191.48,0.3315,20,-2223.71652735849,-2223.71652735849,9907.7454,6325,6345,"symmetric","63341",12
"285",285,11339,435.76,799.37,1744.43,1271.9,836.14,836.14,0.6574,20,-13113.7758764151,-13113.7758764151,13596.1600415094,11326,11346,"symmetric","113391",25
"321",321,12840,105.04,124.78,125.38,125.08,20.04,20.04,0.1602,20,-247.619847735849,-247.619847735849,2379.07932962264,12835,12855,"symmetric","128401",32
"327",327,13084,686.28,734.44,776.65,755.545,69.27,69.265,0.0917,20,-1040.55673584906,-1040.55673584906,14825.9451226415,13077,13097,"symmetric","130841",69
"571",571,24736,110.19,140.86,131.31,136.085,25.9,25.895,0.1903,20,-400.583182075472,-400.583182075472,2457.21663679245,24725,24745,"symmetric","247361",18
"871",871,38926,164.97,426.89,219.85,323.37,158.4,158.4,0.4898,20,-2142.10323679245,-2142.10323679245,4648.69226037736,38916,38936,"symmetric","389261",17
"876",876,39010,109.11,328.16,324.62,326.39,217.28,217.28,0.6657,20,-3003.95980698113,-3003.95980698113,3850.13874396226,39001,39021,"symmetric","390101",14
"877",877,39028,213.31,296.45,992.39,992.39,779.08,779.08,0.7851,20,-5060.29206226415,-5060.29206226415,8472.5351490566,39024,39044,"asymmetric","390281",18
"1377",1377,70476,642.42,797.55,834.3,815.925,173.5,173.505,0.2126,20,-1891.56156792453,-1891.56156792453,15242.8510698113,70465,70485,"symmetric","704761",17
"1540",1540,76982,297,329.75,1852.08,1852.08,1555.08,1555.08,0.8396,20,-8322.36894339622,-8322.36894339622,14586.7739433962,76980,77000,"asymmetric","769821",77
"1542",1542,77060,575.47,794.4,859.87,827.135,251.66,251.665,0.3043,20,-2746.95114056604,-2746.95114056604,14622.7994830189,77048,77068,"symmetric","770601",32
"1564",1564,77765,288.41,428.26,355.32,391.79,103.38,103.38,0.2639,20,-1254.70146226415,-1254.70146226415,6972.94567358491,77750,77770,"symmetric","777651",29
"1628",1628,79890,317.16,420.94,475.79,448.365,131.2,131.205,0.2926,20,-1662.53576603774,-1662.53576603774,7753.15288867924,79885,79905,"symmetric","798901",113
"1672",1672,81097,532.12,567.18,924.55,924.55,392.43,392.43,0.4245,20,-1805.58576509434,-1805.58576509434,13857.6096849057,81093,81113,"asymmetric","810971",12
"1754",1754,83734,178.68,212.79,203.71,208.25,29.57,29.57,0.142,20,-412.41297735849,-412.41297735849,3960.85588301887,83729,83749,"symmetric","837341",30
"1782",1782,84782,199.87,553.51,348.29,450.9,251.03,251.03,0.5567,20,-2935.53748018868,-2935.53748018868,6533.3844509434,84771,84791,"symmetric","847821",15
"1927",1927,94433,192.61,436.15,389.29,412.72,220.11,220.11,0.5333,20,-2889.70931886792,-2889.70931886792,5777.49333396226,94422,94442,"symmetric","944331",101
"1958",1958,95133,150.05,298.89,183.31,241.1,91.05,91.05,0.3776,20,-520.622371698113,-520.622371698113,4542.4512,95119,95139,"symmetric","951331",35
"1986",1986,96039,144.63,830.29,662.06,746.175,601.54,601.545,0.8062,20,-8396.99262169811,-8396.99262169811,7272.62062641509,96026,96046,"symmetric","960391",20
"2262",2262,110790,180.31,220.54,253.51,237.025,56.71,56.715,0.2393,20,-521.529096226416,-521.529096226416,4456.03623962264,110777,110797,"symmetric","1107901",48
"2322",2322,113595,61.83,75.72,173.1,173.1,111.27,111.27,0.6428,20,-644.215391320755,-644.215391320755,1968.38410075472,113591,113611,"asymmetric","1135951",20
"2413",2413,117494,151.37,235.62,165.51,200.565,49.19,49.195,0.2453,20,-642.984121698113,-642.984121698113,3568.93240754717,117481,117501,"symmetric","1174941",30
"2448",2448,119662,270.49,398.85,323.71,361.28,90.79,90.79,0.2513,20,-1200.38434811321,-1200.38434811321,6386.43528679245,119653,119673,"symmetric","1196621",200
"2514",2514,121858,113.44,368.99,243.85,306.42,192.98,192.98,0.6298,20,-2460.63915339623,-2460.63915339623,3974.24063716981,121850,121870,"symmetric","1218581",40
"2610",2610,124997,434.22,687.91,517.16,602.535,168.31,168.315,0.2793,20,-2730.77517735849,-2730.77517735849,9922.5116490566,124990,125010,"symmetric","1249971",17
"2616",2616,125151,263.96,477.13,334.35,405.74,141.78,141.78,0.3494,20,-1985.05885754717,-1985.05885754717,6535.48425283019,125144,125164,"symmetric","1251511",20
"2803",2803,134109,150.33,221.62,163.75,192.685,42.35,42.355,0.2198,20,-352.848616981132,-352.848616981132,3693.54438679245,134095,134115,"symmetric","1341091",33
"2917",2917,137599,111.96,177.36,136.15,156.755,44.8,44.795,0.2858,20,-482.943177169811,-482.943177169811,2808.86055113208,137584,137604,"symmetric","1375991",47
"3001",3001,141488,68.76,122.45,99.6,111.025,42.26,42.265,0.3806,20,-611.446529716981,-611.446529716981,1720.14164660377,141474,141494,"symmetric","1414881",35
"3021",3021,142781,9.98,18.28,35.39,26.835,16.86,16.855,0.6283,20,-229.618125509434,-229.618125509434,333.868792415094,142768,142788,"symmetric","1427811",21
"3061",3061,143931,56.19,73.17,133.7,103.435,47.25,47.245,0.4568,20,-679.907274622641,-679.907274622641,1492.17577811321,143919,143939,"symmetric","1439311",23
"3066",3066,143997,24.26,85.53,37.06,61.295,37.03,37.035,0.6041,20,-475.25598254717,-475.25598254717,811.865630377358,143989,144009,"symmetric","1439971",15
"3076",3076,144336,225.14,242.47,474.32,474.32,249.18,249.18,0.5253,20,-1173.2589254717,-1173.2589254717,6353.03221132075,144334,144354,"asymmetric","1443361",46
"23",23,1074,222.72,239.34,288.57,263.955,41.23,41.235,0.1562,19,-311.104341509434,-311.104341509434,4967.9473754717,1072,1091,"symmetric","10741",121
"36",36,1459,898.98,1313.84,1136.55,1225.195,326.21,326.215,0.2663,19,-3161.80774528302,-3161.80774528302,21342.1159528302,1451,1470,"symmetric","14591",59
"64",64,2246,363.85,797.87,1603.34,1200.605,836.76,836.755,0.6969,19,-12205.4717716981,-12205.4717716981,11806.629945283,2236,2255,"symmetric","22461",16
"77",77,2543,395.98,671.85,725.08,698.465,302.48,302.485,0.4331,19,-3441.52144528302,-3441.52144528302,10527.7990075472,2534,2553,"symmetric","25431",17
"92",92,3284,339.24,1033.08,568.64,800.86,461.62,461.62,0.5764,19,-6300.90874528302,-6300.90874528302,9716.28138679245,3280,3299,"symmetric","32841",11
"146",146,6310,227.17,275.2,430.31,352.755,125.59,125.585,0.356,19,-1543.60900188679,-1543.60900188679,5511.41984716981,6301,6320,"symmetric","63101",14
"346",346,13822,80.98,123.39,91.05,107.22,26.24,26.24,0.2447,19,-405.896483207547,-405.896483207547,1738.46066773585,13820,13839,"symmetric","138221",67
"521",521,19399,623.61,756.52,644.05,700.285,76.67,76.675,0.1095,19,-582.560524528302,-582.560524528302,13423.2012679245,19385,19404,"symmetric","193991",53
"528",528,19776,270.76,712.54,409.99,561.265,290.5,290.505,0.5176,19,-1323.41211509434,-1323.41211509434,9901.91243207547,19761,19780,"symmetric","197761",27
"575",575,25011,56.81,72.01,80.91,76.46,19.65,19.65,0.257,19,-256.842536603773,-256.842536603773,1272.33589924528,25002,25021,"symmetric","250111",72
"624",624,27221,589.09,663.16,778.57,720.865,131.77,131.775,0.1828,19,-1672.36495471698,-1672.36495471698,12744.8664792453,27219,27238,"symmetric","272211",31
"671",671,30175,32.74,48.22,71.37,59.795,27.06,27.055,0.4525,19,-267.904742264151,-267.904742264151,927.982653962264,30165,30184,"symmetric","301751",31
"941",941,43177,138.82,176.77,411.22,411.22,272.4,272.4,0.6624,19,-2372.08491509434,-2372.08491509434,3507.78710377358,43167,43186,"asymmetric","431771",152
"973",973,45604,672.25,771.75,903.17,837.46,165.21,165.21,0.1973,19,-1812.83094339623,-1812.83094339623,14936.3300377358,45597,45616,"symmetric","456041",23
"1089",1089,50160,261.18,529.57,379.48,454.525,193.35,193.345,0.4254,19,-1762.66309245283,-1762.66309245283,7327.90645471698,50147,50166,"symmetric","501601",33
"1154",1154,52689,248.22,426.74,302.02,364.38,116.16,116.16,0.3188,19,-841.524401886792,-841.524401886792,6446.13610754717,52675,52694,"symmetric","526891",56
"1448",1448,73782,636.12,861.26,977.55,919.405,283.28,283.285,0.3081,19,-3566.92460943396,-3566.92460943396,14821.1575981132,73776,73795,"symmetric","737821",26
"1461",1461,73973,480.92,843.46,644.84,744.15,263.23,263.23,0.3537,19,-3172.94127169811,-3172.94127169811,11710.1097849057,73963,73982,"symmetric","739731",13
"1528",1528,76635,173.48,210.13,204.41,207.27,33.79,33.79,0.163,19,-398.524805660377,-398.524805660377,3746.89659056604,76626,76645,"symmetric","766351",149
"1574",1574,77966,118.4,139.66,190.66,165.16,46.76,46.76,0.2831,19,-595.226531886792,-595.226531886792,2708.01086433962,77959,77978,"symmetric","779661",16
"1716",1716,82383,444.08,831.56,783.19,807.375,363.3,363.295,0.45,19,-3900.49106603774,-3900.49106603774,12247.0983679245,82376,82395,"symmetric","823831",33
"1717",1717,82404,523.38,783.19,1433.41,1108.3,584.92,584.92,0.5278,19,-8334.3276509434,-8334.3276509434,13831.7242924528,82395,82414,"symmetric","824041",21
"1732",1732,82992,122.09,159.36,181.61,170.485,48.4,48.395,0.2839,19,-513.135356603773,-513.135356603773,2896.53043584906,82987,83006,"symmetric","829921",46
"1864",1864,91630,576.36,1343.77,1059.38,1201.575,625.22,625.215,0.5203,19,-7599.47936603773,-7599.47936603773,16432.0263509434,91619,91638,"symmetric","916301",202
"1882",1882,92045,34.04,149.83,149.32,149.575,115.53,115.535,0.7724,19,-1224.02268509434,-1224.02268509434,1767.46693754717,92035,92054,"symmetric","920451",67
"1998",1998,96462,165.99,252.93,315.39,284.16,118.17,118.17,0.4159,19,-1239.5254754717,-1239.5254754717,4443.75563773585,96453,96472,"symmetric","964621",22
"2106",2106,102513,101.81,532.3,218.19,375.245,273.44,273.435,0.7287,19,-1802.8732109434,-1802.8732109434,5701.99941169811,102500,102519,"symmetric","1025131",25
"2159",2159,104494,257.5,354.67,362.46,358.565,101.06,101.065,0.2818,19,-1217.0538509434,-1217.0538509434,5954.1993,104487,104506,"symmetric","1044941",26
"2216",2216,107791,559.11,870.23,870.64,870.435,311.32,311.325,0.3577,19,-2451.21374716981,-2451.21374716981,14957.4585735849,107782,107801,"symmetric","1077911",38
"2422",2422,117987,329.17,675.97,677.13,676.55,347.38,347.38,0.5135,19,-4198.50638490566,-4198.50638490566,9332.54446415094,117975,117994,"symmetric","1179871",31
"2793",2793,133848,261.6,427.17,515.54,471.355,209.76,209.755,0.445,19,-2814.70175660377,-2814.70175660377,6612.38882830189,133840,133859,"symmetric","1338481",22
"2806",2806,134189,111.35,121.05,159.83,140.44,29.09,29.09,0.2071,19,-369.173640566038,-369.173640566038,2439.70037830189,134181,134200,"symmetric","1341891",16
"2885",2885,136720,171.38,753.42,271,753.42,582.04,582.04,0.7725,19,-4146.49382264151,-4146.49382264151,6097.76381886792,136709,136728,"asymmetric","1367201",45
"2944",2944,138821,460.05,631.62,677.62,654.62,194.57,194.57,0.2972,19,-2999.52224150943,-2999.52224150943,10092.8940792453,138806,138825,"symmetric","1388211",24
"3043",3043,143309,36.1,127.1,92.42,109.76,73.66,73.66,0.6711,19,-830.485743962264,-830.485743962264,1364.64655415094,143303,143322,"symmetric","1433091",12
"51",51,1764,49.95,72.18,86.42,79.3,29.35,29.35,0.3701,18,-327.602609150943,-327.602609150943,1179.07043773585,1759,1777,"symmetric","17641",56
"68",68,2310,448.46,1119.76,1190.91,1155.335,706.88,706.875,0.6118,18,-8376.20577169811,-8376.20577169811,13575.1368226415,2301,2319,"symmetric","23101",25
"83",83,2689,210.32,230,240.52,235.26,24.94,24.94,0.106,18,-270.765441509434,-270.765441509434,4199.21198490566,2681,2699,"symmetric","26891",30
"105",105,3640,376.08,915.91,798.65,857.28,481.2,481.2,0.5613,18,-2902.38521603774,-2902.38521603774,13385.8679433962,3630,3648,"symmetric","36401",39
"362",362,14361,538.83,676.95,750.48,713.715,174.88,174.885,0.245,18,-1786.52749245283,-1786.52749245283,11774.0935358491,14354,14372,"symmetric","143611",15
"425",425,16052,308.79,1109.17,700.66,904.915,596.12,596.125,0.6588,18,-6768.21528679245,-6768.21528679245,10425.235245283,16042,16060,"symmetric","160521",32
"456",456,16568,387.41,439.64,594.04,516.84,129.43,129.43,0.2504,18,-1576.76774433962,-1576.76774433962,8243.17972641509,16562,16580,"symmetric","165681",14
"463",463,16880,91.19,133.6,137.49,135.545,44.36,44.355,0.3273,18,-546.604118490566,-546.604118490566,2028.78655132075,16877,16895,"symmetric","168801",75
"611",611,26492,93.77,149.53,147.74,148.635,54.86,54.865,0.3691,18,-625.811736226415,-625.811736226415,2198.21390150943,26483,26501,"symmetric","264921",19
"672",672,30199,32.56,81.4,80.21,80.805,48.25,48.245,0.5971,18,-603.165245094339,-603.165245094339,932.170870188679,30193,30211,"symmetric","301991",24
"713",713,30786,184.2,278.55,445.56,362.055,177.86,177.855,0.4913,18,-1679.17121320755,-1679.17121320755,5199.79807358491,30779,30797,"symmetric","307861",17
"881",881,39114,753.96,1531.84,956.74,1244.29,490.33,490.33,0.3941,18,-5131.22025566038,-5131.22025566038,18510.2694,39105,39123,"symmetric","391141",17
"1039",1039,48232,460.51,1854.37,1293.65,1574.01,1113.5,1113.5,0.7074,18,-16457.4604018868,-16457.4604018868,13448.7150792453,48228,48246,"symmetric","482321",25
"1163",1163,52980,138.68,297.56,228.03,262.795,124.12,124.115,0.4723,18,-1494.78483396226,-1494.78483396226,3498.31546981132,52965,52983,"symmetric","529801",30
"1374",1374,70141,237.38,270.99,327.23,299.11,61.73,61.73,0.2064,18,-498.648090566037,-498.648090566037,5184.44818301887,70137,70155,"symmetric","701411",11
"1491",1491,75622,401.23,889.46,523.42,706.44,305.21,305.21,0.432,18,-4558.94246037736,-4558.94246037736,8863.45668679245,75616,75634,"symmetric","756221",230
"1576",1576,78008,199.49,272.24,625.27,625.27,425.78,425.78,0.681,18,-2763.63645283019,-2763.63645283019,5762.68488679245,78004,78022,"asymmetric","780081",19
"1587",1587,78309,409.38,657.21,548.53,602.87,193.49,193.49,0.3209,18,-1924.03610660377,-1924.03610660377,9530.55263207547,78300,78318,"symmetric","783091",46
"1590",1590,78360,341.53,824.33,624.65,724.49,382.96,382.96,0.5286,18,-5222.11196037736,-5222.11196037736,8543.25704716981,78354,78372,"symmetric","783601",13
"1654",1654,80477,295.16,581.4,619.44,600.42,305.26,305.26,0.5084,18,-3722.78452924528,-3722.78452924528,7685.2115490566,80463,80481,"symmetric","804771",27
"1656",1656,80509,251.19,460.12,538.96,499.54,248.35,248.35,0.4972,18,-3181.78159811321,-3181.78159811321,6309.4504754717,80497,80515,"symmetric","805091",18
"1659",1659,80628,88,97.47,131.71,114.59,26.59,26.59,0.232,18,-395.593255188679,-395.593255188679,1781.69045943396,80617,80635,"symmetric","806281",58
"1733",1733,83065,160.61,200.48,204.1,202.29,41.68,41.68,0.206,18,-485.297261320755,-485.297261320755,3358.20763018868,83056,83074,"symmetric","830651",73
"1757",1757,84009,40.79,57.22,76.96,67.09,26.3,26.3,0.392,18,-264.616516698113,-264.616516698113,1010.10096679245,84004,84022,"symmetric","840091",28
"1766",1766,84364,248.91,574.11,1128.61,851.36,602.45,602.45,0.7076,18,-9389.59090471698,-9389.59090471698,6786.19394150943,84349,84367,"symmetric","843641",68
"1823",1823,89521,432.04,1600.61,604.78,1600.61,1168.57,1168.57,0.7301,18,-8052.58535094339,-8052.58535094339,12898.5914716981,89511,89529,"asymmetric","895211",20
"1842",1842,90244,95.06,151.4,122.39,136.895,41.84,41.835,0.3056,18,-795.604605283019,-795.604605283019,1805.32846358491,90242,90260,"symmetric","902441",83
"1877",1877,91877,153.29,182.25,329.22,255.735,102.45,102.445,0.4006,18,-1042.3638254717,-1042.3638254717,3816.66231509434,91874,91892,"symmetric","918771",19
"1914",1914,93849,632.87,658.9,726.4,692.65,59.78,59.78,0.0863,18,-623.507671698113,-623.507671698113,12536.8907603774,93843,93861,"symmetric","938491",80
"1996",1996,96385,98.83,227.62,120.45,227.62,128.79,128.79,0.5658,18,-869.248146226415,-869.248146226415,2437.43386415094,96380,96398,"asymmetric","963851",25
