"","no","peakTime","peak","baseline1","baseline2","baseline","amplitude","relAmp","percDiff","duration","irradGain","relIrrad","irradTot","baselineTime1","baselineTime2","symmetry","z","timeInterval"
"2831",2831,134777,9.25,47.24,156.95,102.095,92.84,92.845,0.9093,158,-7565.87965449056,-7565.87965449056,8667.27553550943,134742,134900,"symmetric","1347771",47
"113",113,3848,12.41,197.48,137.09,167.285,154.88,154.875,0.9258,156,-16076.407847434,-16076.407847434,10187.528366717,3779,3935,"symmetric","38481",75
"345",345,13755,10.56,209.91,125.6,167.755,157.2,157.195,0.9371,155,-17582.7924624906,-17582.7924624906,8586.760896,13663,13818,"symmetric","137551",102
"893",893,40784,12.83,76.44,158.19,117.315,104.48,104.485,0.8906,155,-10395.6401869811,-10395.6401869811,7905.83054773585,40728,40883,"symmetric","407841",105
"1339",1339,68799,12.4,133.33,135.45,134.39,121.99,121.99,0.9077,154,-12226.0839262641,-12226.0839262641,8604.46667750943,68742,68896,"symmetric","687991",62
"2931",2931,138466,9.06,113.4,168.65,141.025,131.96,131.965,0.9357,152,-13814.2204009811,-13814.2204009811,7762.77657967924,138379,138531,"symmetric","1384661",296
"1080",1080,49780,9.81,56.28,107.66,81.97,72.16,72.16,0.8803,151,-6904.60432556604,-6904.60432556604,5554.9460895283,49729,49880,"symmetric","497801",174
"2466",2466,120318,10.82,125.65,115.58,120.615,109.8,109.795,0.9103,150,-9917.4429555283,-9917.4429555283,8294.85630730189,120251,120401,"symmetric","1203181",89
"940",940,43025,14.05,112.88,132.34,122.61,108.56,108.56,0.8854,147,-10967.2482922642,-10967.2482922642,7178.88388924528,42963,43110,"symmetric","430251",66
"501",501,18883,10.59,190.51,138.11,164.31,153.72,153.72,0.9355,143,-15099.7953543962,-15099.7953543962,8560.48559654717,18807,18950,"symmetric","188831",188
"2724",2724,131022,14.67,144.7,256.71,200.705,186.04,186.035,0.9269,140,-18014.450924717,-18014.450924717,10284.8680120755,130963,131103,"symmetric","1310221",62
"1241",1241,60991,11.24,77.35,104.54,90.945,79.7,79.705,0.8764,138,-7463.49343216981,-7463.49343216981,5177.91184386792,60932,61070,"symmetric","609911",94
"416",416,15738,34.34,202.05,144.64,173.345,139,139.005,0.8019,137,-16465.2212114151,-16465.2212114151,7455.96710745283,15708,15845,"symmetric","157381",56
"1466",1466,74300,8.82,48.8,80.73,64.765,55.94,55.945,0.8637,136,-4443.21625313208,-4443.21625313208,4429.13907667924,74228,74364,"symmetric","743001",165
"2427",2427,118607,12.56,69.81,226.86,148.335,135.78,135.775,0.9154,136,-10466.9706674717,-10466.9706674717,9854.33288026415,118567,118703,"symmetric","1186071",62
"1815",1815,89188,10,90.18,59.07,74.625,64.62,64.625,0.8659,135,-5846.92573975472,-5846.92573975472,4301.82580364151,89121,89256,"symmetric","891881",107
"556",556,23790,12.57,64.5,180.9,122.7,110.13,110.13,0.8976,132,-9608.83977820755,-9608.83977820755,6710.70058981132,23743,23875,"symmetric","237901",1066
"967",967,45270,13.92,81.13,100.61,90.87,76.95,76.95,0.8468,132,-6169.20478471698,-6169.20478471698,5916.23796056604,45210,45342,"symmetric","452701",129
"555",555,22724,13.39,66.94,180.19,123.565,110.17,110.175,0.8916,130,-9396.35788924528,-9396.35788924528,6790.85519264151,22677,22807,"symmetric","227241",280
"2954",2954,139200,9.91,102.81,62.54,82.675,72.76,72.765,0.8801,130,-5261.43647003774,-5261.43647003774,5569.00501618868,139135,139265,"symmetric","1392001",110
"56",56,1980,88.41,109.39,739.49,739.49,651.08,651.08,0.8804,129,757.908804905652,757.908804905652,55935.0529539623,1975,2104,"asymmetric","19801",71
"2084",2084,101290,10.7,94.12,101.2,97.66,86.96,86.96,0.8904,129,-6550.52464579245,-6550.52464579245,6145.11500043396,101243,101372,"symmetric","1012901",478
"1271",1271,64361,14.5,98.59,58.96,78.775,64.28,64.275,0.816,127,-5245.42388603774,-5245.42388603774,4837.33765358491,64297,64424,"symmetric","643611",1124
"2996",2996,141345,13.59,163.08,165.71,164.395,150.8,150.805,0.9173,126,-13289.8063160377,-13289.8063160377,7588.07856509434,141287,141413,"symmetric","1413451",83
"1057",1057,48651,9.68,65.7,78.97,72.335,62.66,62.655,0.8662,125,-4643.2402665283,-4643.2402665283,4470.91372290566,48586,48711,"symmetric","486511",83
"22",22,953,12.2,154.91,124.13,139.52,127.32,127.32,0.9126,122,-10315.7601131887,-10315.7601131887,6845.13873492453,894,1016,"symmetric","9531",101
"959",959,44148,13.14,91.61,77.06,84.335,71.2,71.195,0.8443,122,-5522.64054537736,-5522.64054537736,4850.2373790566,44083,44205,"symmetric","441481",255
"1789",1789,86058,11.76,60.43,137.36,98.895,87.14,87.135,0.8811,122,-6463.28648462264,-6463.28648462264,5700.4562504717,86016,86138,"symmetric","860581",167
"1526",1526,76486,12.77,51.22,66.98,59.1,46.33,46.33,0.7839,120,-3050.83158350943,-3050.83158350943,4100.01993271698,76440,76560,"symmetric","764861",125
"1960",1960,95247,23.77,140.74,78.27,109.505,85.74,85.735,0.783,119,-7984.73856718868,-7984.73856718868,5155.55133469811,95209,95328,"symmetric","952471",48
"1792",1792,87116,10.12,54.72,110.16,82.44,72.32,72.32,0.8772,118,-5082.36358211321,-5082.36358211321,4728.04299628302,87075,87193,"symmetric","871161",719
"1925",1925,94247,12.67,134.73,69.11,101.92,89.25,89.25,0.8757,118,-6921.00662875472,-6921.00662875472,5207.29694813208,94184,94302,"symmetric","942471",81
