"","w.length","type","s.q.irrad"
"159",349.89,"clear.sky",0.374182702041044
"160",350.36,"clear.sky",0.397511691879277
"161",350.83,"clear.sky",0.39125230050493
"162",351.3,"clear.sky",0.389460350138571
"163",351.77,"clear.sky",0.385435249078153
"164",352.24,"clear.sky",0.384050999508693
"165",352.71,"clear.sky",0.371522543585034
"166",353.18,"clear.sky",0.396394974604058
"167",353.65,"clear.sky",0.421888486707447
"168",354.12,"clear.sky",0.427455951803122
"169",354.59,"clear.sky",0.432389414904451
"170",355.06,"clear.sky",0.426889043630545
"171",355.53,"clear.sky",0.416095281486046
"172",356,"clear.sky",0.39936396384914
"173",356.47,"clear.sky",0.38711915689899
"174",356.94,"clear.sky",0.347309954345408
"175",357.41,"clear.sky",0.3354630781474
"176",357.88,"clear.sky",0.33486796407479
"177",358.35,"clear.sky",0.321550192134833
"178",358.82,"clear.sky",0.336775872700543
"179",359.28,"clear.sky",0.370698465677999
"180",359.75,"clear.sky",0.42498358898906
"181",360.22,"clear.sky",0.419816454424379
"182",360.69,"clear.sky",0.390151730740577
"183",361.16,"clear.sky",0.376548580823144
"184",361.63,"clear.sky",0.389174474424541
"185",362.1,"clear.sky",0.399694735426473
"186",362.57,"clear.sky",0.429168099578223
"187",363.04,"clear.sky",0.428338730422007
"188",363.51,"clear.sky",0.421438097375402
"189",363.98,"clear.sky",0.435201584696932
"190",364.45,"clear.sky",0.453991735951919
"191",364.92,"clear.sky",0.455122785308906
"192",365.39,"clear.sky",0.472031204144993
"193",365.86,"clear.sky",0.515453962461982
"194",366.32,"clear.sky",0.516942172757964
"195",366.79,"clear.sky",0.505933090429799
"196",367.26,"clear.sky",0.50927171244932
"197",367.73,"clear.sky",0.508488010019446
"198",368.2,"clear.sky",0.479120190540956
"199",368.67,"clear.sky",0.48735155401295
"200",369.14,"clear.sky",0.492097859441979
"201",369.61,"clear.sky",0.525437240928058
"202",370.08,"clear.sky",0.519552938137173
"203",370.55,"clear.sky",0.491739816921403
"204",371.02,"clear.sky",0.523410044844262
"205",371.48,"clear.sky",0.490443079848745
"206",371.95,"clear.sky",0.476710994434741
"207",372.42,"clear.sky",0.429090885685251
"208",372.89,"clear.sky",0.447883921899934
"209",373.36,"clear.sky",0.423734716693556
"210",373.83,"clear.sky",0.39616371629528
"211",374.3,"clear.sky",0.421209922862228
"212",374.77,"clear.sky",0.41680988264961
"213",375.23,"clear.sky",0.430357945442114
"214",375.7,"clear.sky",0.486033692414784
"215",376.17,"clear.sky",0.495387848076123
"216",376.64,"clear.sky",0.499014914441566
"217",377.11,"clear.sky",0.517846143623093
"218",377.58,"clear.sky",0.55669646669249
"219",378.05,"clear.sky",0.567383051315898
"220",378.51,"clear.sky",0.554724877573814
"221",378.98,"clear.sky",0.518261214063709
"222",379.45,"clear.sky",0.490064713983793
"223",379.92,"clear.sky",0.480504693598087
"224",380.39,"clear.sky",0.508420344985594
"225",380.86,"clear.sky",0.506170278861041
"226",381.33,"clear.sky",0.47901860355739
"227",381.79,"clear.sky",0.429897229699598
"228",382.26,"clear.sky",0.380881923867198
"229",382.73,"clear.sky",0.358155392476829
"230",383.2,"clear.sky",0.350698579218938
"231",383.67,"clear.sky",0.358805171871122
